text_i,text_j,cor
Become overwhelmed by events.,Worry about things.,0.39637626703582224
Have a lot of fun.,Worry about things.,-0.18467301609532893
Believe that there is no absolute right or wrong.,Worry about things.,-0.025378823632084584
Feel sympathy for those who are worse off than myself.,Worry about things.,0.1289897547230659
Choose my words with care.,Worry about things.,-0.005552851120485481
Am afraid of many things.,Worry about things.,0.4316858257347833
Feel comfortable around people.,Worry about things.,-0.18020031191855365
Love to daydream.,Worry about things.,0.06302595925439271
Trust what people say.,Worry about things.,-0.09379882169644328
Handle tasks smoothly.,Worry about things.,-0.14907591292738098
Get upset easily.,Worry about things.,0.37521925455933386
Enjoy being part of a group.,Worry about things.,-0.04885004202044108
See beauty in things that others might not notice.,Worry about things.,0.019980580726155647
Use flattery to get ahead.,Worry about things.,-0.019462701704524306
Want everything to be just right.,Worry about things.,0.23919167390323356
Am often down in the dumps.,Worry about things.,0.3618451838587119
Can talk others into doing things.,Worry about things.,-0.09550470092527173
Am passionate about causes.,Worry about things.,0.04734304109852744
Love to help others.,Worry about things.,0.05461720483833305
Pay my bills on time.,Worry about things.,-0.012318235517447937
Find it difficult to approach others.,Worry about things.,0.19584010319221967
Do a lot in my spare time.,Worry about things.,-0.06944902559996645
Interested in many things.,Worry about things.,-0.06870075376356803
Hate to seem pushy.,Worry about things.,0.09523754508965346
Turn plans into actions.,Worry about things.,-0.1145197396532934
Do things I later regret.,Worry about things.,0.20708349895242298
Love action.,Worry about things.,-0.14392004027284833
Have a rich vocabulary.,Worry about things.,-0.06839021395300332
Consider myself an average person.,Worry about things.,0.09399706746635081
Start tasks right away.,Worry about things.,-0.006757863944899971
Feel that I'm unable to deal with things.,Worry about things.,0.3392968114756512
Express childlike joy.,Worry about things.,-0.013958781406587923
Believe that criminals should receive help rather than punishment.,Worry about things.,9.852795356921071e-4
Value cooperation over competition.,Worry about things.,0.07636369488634023
Stick to my chosen path.,Worry about things.,-0.0021065610234357614
Get stressed out easily.,Worry about things.,0.5387395426772602
Act comfortably with others.,Worry about things.,-0.16228093704126142
Like to get lost in thought.,Worry about things.,0.048930348350549095
Believe that people are basically moral.,Worry about things.,-0.05328838087808371
Am sure of my ground.,Worry about things.,-0.20715565949254577
Am often in a bad mood.,Worry about things.,0.286016374067244
Involve others in what I am doing.,Worry about things.,-0.05866851089980589
Love flowers.,Worry about things.,0.12191075095605067
Use others for my own ends.,Worry about things.,-0.006026288126099898
Love order and regularity.,Worry about things.,0.15750011310874384
Have a low opinion of myself.,Worry about things.,0.30699551696029
Seek to influence others.,Worry about things.,-0.050028646187920314
Enjoy examining myself and my life.,Worry about things.,-0.041681218802379856
Am concerned about others.,Worry about things.,0.12063689983490895
Tell the truth.,Worry about things.,-0.04318057324587348
Am afraid to draw attention to myself.,Worry about things.,0.19801826951552606
Can manage many things at the same time.,Worry about things.,-0.08461529457302035
Like to begin new things.,Worry about things.,-0.11276618572095684
Have a sharp tongue.,Worry about things.,-0.029544831328842575
Plunge into tasks with all my heart.,Worry about things.,0.008316071244017927
Go on binges.,Worry about things.,0.11463608428001508
Enjoy being part of a loud crowd.,Worry about things.,-0.07425237071287388
Can handle a lot of information.,Worry about things.,-0.11373307571811682
Seldom toot my own horn.,Worry about things.,0.02212728334439256
Get to work at once.,Worry about things.,0.00668066980942639
Can't make up my mind.,Worry about things.,0.25575807449011484
Laugh my way through life.,Worry about things.,-0.17148776671170582
Believe in one true religion.,Worry about things.,0.011872613293843095
Suffer from others' sorrows.,Worry about things.,0.1854114665792487
Jump into things without thinking.,Worry about things.,-0.0713140720532564
Get caught up in my problems.,Worry about things.,0.4514722882143599
Cheer people up.,Worry about things.,-0.03522457115139549
Indulge in my fantasies.,Worry about things.,-0.012453686129035425
Believe in human goodness.,Worry about things.,-0.022600246277798816
Come up with good solutions.,Worry about things.,-0.11865708543313527
Lose my temper.,Worry about things.,0.24793872997009841
Love surprise parties.,Worry about things.,-0.042325784236950506
Enjoy the beauty of nature.,Worry about things.,0.001703049102906414
Know how to get around the rules.,Worry about things.,0.1134181449991239
Do things according to a plan.,Worry about things.,0.08328144193988118
Have frequent mood swings.,Worry about things.,0.3413461332335809
Take control of things.,Worry about things.,-0.06746314874779712
Try to understand myself.,Worry about things.,0.05082671535192038
Have a good word for everyone.,Worry about things.,-0.06478891481047887
Listen to my conscience.,Worry about things.,0.010905361226655787
Only feel comfortable with friends.,Worry about things.,0.17016327127534792
React quickly.,Worry about things.,-0.0297508673579835
Prefer to stick with things that I know.,Worry about things.,-0.20667220089665794
Contradict others.,Worry about things.,-0.026886937026785844
Do more than what's expected of me.,Worry about things.,0.022163061313197088
Love to eat.,Worry about things.,0.057494659823686275
Enjoy being reckless.,Worry about things.,-0.10493903117125811
Enjoy thinking about things.,Worry about things.,1.452362697991949e-4
Believe that I am better than others.,Worry about things.,0.059859738101499776
Carry out my plans.,Worry about things.,-0.07611129546404474
Get overwhelmed by emotions.,Worry about things.,0.4222799216365342
Love life.,Worry about things.,-0.1892078067369987
Tend to vote for conservative political candidates.,Worry about things.,0.036881477760594486
Am not interested in other people's problems.,Worry about things.,0.07567169917366003
Make rash decisions.,Worry about things.,-0.06451323604870404
Am not easily bothered by things.,Worry about things.,0.3996528907145613
Am hard to get to know.,Worry about things.,-0.052050965076840205
Spend time reflecting on things.,Worry about things.,0.10622094025501636
Think that all will be well.,Worry about things.,-0.23471633723247737
Know how to get things done.,Worry about things.,-0.11515488768764062
Rarely get irritated.,Worry about things.,0.2972174044042249
Prefer to be alone.,Worry about things.,-0.06783854278849227
Do not like art.,Worry about things.,0.022860549523917625
Cheat to get ahead.,Worry about things.,0.028087863984565753
Often forget to put things back in their proper place.,Worry about things.,0.0022708542106985438
Feel desperate.,Worry about things.,0.29795625155313854
Wait for others to lead the way.,Worry about things.,-0.16469552809848154
Seldom get emotional.,Worry about things.,0.288360383516791
Look down on others.,Worry about things.,-0.023057439190069702
Break rules.,Worry about things.,0.09100190468682778
Stumble over my words.,Worry about things.,0.14696940537585795
Like to take it easy.,Worry about things.,0.05969195777073167
Dislike changes.,Worry about things.,-0.21015641215977576
Love a good fight.,Worry about things.,0.08655445536073601
Set high standards for myself and others.,Worry about things.,0.04760698525467061
Rarely overindulge.,Worry about things.,0.09604341739149791
Act wild and crazy.,Worry about things.,-0.07636479669116894
Am not interested in abstract ideas.,Worry about things.,-0.048621324418113385
Think highly of myself.,Worry about things.,0.20316931703610783
Find it difficult to get down to work.,Worry about things.,-0.06590806493561308
Remain calm under pressure.,Worry about things.,0.32000321380524266
Look at the bright side of life.,Worry about things.,-0.26736270918832794
Believe that too much tax money goes to support artists.,Worry about things.,0.03452261827617279
Tend to dislike soft-hearted people.,Worry about things.,0.0789589425336912
Like to act on a whim.,Worry about things.,0.08100116727407898
Am relaxed most of the time.,Worry about things.,0.39842817659399604
Often feel uncomfortable around others.,Worry about things.,-0.19409978790824578
Seldom daydream.,Worry about things.,0.03868674712900061
Distrust people.,Worry about things.,-0.15870293814502745
Misjudge situations.,Worry about things.,-0.2061109570495549
Seldom get mad.,Worry about things.,0.25076402241680795
Want to be left alone.,Worry about things.,-0.10753611813362297
Do not like poetry.,Worry about things.,0.0350620512650138
Put people under pressure.,Worry about things.,-0.009602813419160205
Leave a mess in my room.,Worry about things.,-0.0030039904951128607
Feel that my life lacks direction.,Worry about things.,0.17482341127096415
Keep in the background.,Worry about things.,-0.13461381128214825
Am not easily affected by my emotions.,Worry about things.,0.32529432051289886
Am indifferent to the feelings of others.,Worry about things.,0.09823608409161197
Break my promises.,Worry about things.,-0.06940831727224533
Am not embarrassed easily.,Worry about things.,0.2736404082966841
Like to take my time.,Worry about things.,0.00790958483875808
Don't like the idea of change.,Worry about things.,-0.21004965794567662
Yell at people.,Worry about things.,-0.13654005573746725
Demand quality.,Worry about things.,0.016086501544268907
Easily resist temptations.,Worry about things.,0.09742781446495676
Willing to try anything once.,Worry about things.,-0.10706484494786846
Avoid philosophical discussions.,Worry about things.,-0.06765548075086693
Have a high opinion of myself.,Worry about things.,0.20428018303341344
Waste my time.,Worry about things.,-0.07458633857950547
Can handle complex problems.,Worry about things.,0.1459165297396999
Laugh aloud.,Worry about things.,-0.05569103568761783
Believe laws should be strictly enforced.,Worry about things.,-0.06012394858987744
Believe in an eye for an eye.,Worry about things.,-0.022344324814038623
Rush into things.,Worry about things.,-0.0678456776035181
Am not easily disturbed by events.,Worry about things.,0.32288554939637565
Avoid contacts with others.,Worry about things.,-0.12751363145700417
Do not have a good imagination.,Worry about things.,-0.046031506228898525
Suspect hidden motives in others.,Worry about things.,-0.15572717664088465
Don't understand things.,Worry about things.,-0.18763060199265472
Am not easily annoyed.,Worry about things.,0.27110571476565176
Don't like crowded events.,Worry about things.,-0.12558069590870444
Do not enjoy going to art museums.,Worry about things.,0.01032737753897481
Pretend to be concerned for others.,Worry about things.,0.00815182505646977
Leave my belongings around.,Worry about things.,-0.00978741447320708
Seldom feel blue.,Worry about things.,0.2933850324545531
Have little to say.,Worry about things.,-0.03693876065458439
Rarely notice my emotional reactions.,Worry about things.,0.13266392438450883
Make people feel uncomfortable.,Worry about things.,-0.039996393673825015
Get others to do my duties.,Worry about things.,0.02916870089617347
Am comfortable in unfamiliar situations.,Worry about things.,0.19789951451467286
Like a leisurely lifestyle.,Worry about things.,0.05135308543321978
Am a creature of habit.,Worry about things.,-0.1636922796514743
Insult people.,Worry about things.,-0.01964282610911975
Am not highly motivated to succeed.,Worry about things.,-0.02098668909054871
Am able to control my cravings.,Worry about things.,0.14466948386527306
Seek danger.,Worry about things.,-0.15924177430277847
Have difficulty understanding abstract ideas.,Worry about things.,-0.113724841796797
Know the answers to many questions.,Worry about things.,0.11529146800730507
Need a push to get started.,Worry about things.,-0.096008311233515
Know how to cope.,Worry about things.,0.28308291339676217
Amuse my friends.,Worry about things.,-0.07338620520505539
Believe that we coddle criminals too much.,Worry about things.,1.703198993902336e-5
Try not to think about the needy.,Worry about things.,0.024605866782773173
Do crazy things.,Worry about things.,0.0893538269924718
Don't worry about things that have already happened.,Worry about things.,0.4451301209546242
Am not really interested in others.,Worry about things.,0.04684794012539078
Seldom get lost in thought.,Worry about things.,0.05291973117333149
Am wary of others.,Worry about things.,-0.16462926326719585
Have little to contribute.,Worry about things.,-0.1233172131873196
Keep my cool.,Worry about things.,0.28491876376417913
Avoid crowds.,Worry about things.,-0.13169714972477056
Do not like concerts.,Worry about things.,-0.04050997702913118
Take advantage of others.,Worry about things.,0.01797153198215554
Am not bothered by messy people.,Worry about things.,0.11359502756872454
Feel comfortable with myself.,Worry about things.,0.2965191855707286
Don't like to draw attention to myself.,Worry about things.,-0.11186808444059307
Experience very few emotional highs and lows.,Worry about things.,0.27501802534993014
Turn my back on others.,Worry about things.,-0.019464698998820782
Do the opposite of what is asked.,Worry about things.,0.021083255712526207
Am not bothered by difficult social situations.,Worry about things.,0.2406512104331711
Let things proceed at their own pace.,Worry about things.,0.15893159674733262
Dislike new foods.,Worry about things.,-0.07075885669257444
Get back at others.,Worry about things.,-0.03487044013683529
Do just enough work to get by.,Worry about things.,0.004512458786920425
Never spend more than I can afford.,Worry about things.,0.074754950327225
Would never go hang gliding or bungee jumping.,Worry about things.,-0.14383114429988483
Am not interested in theoretical discussions.,Worry about things.,-0.06160958721155332
Boast about my virtues.,Worry about things.,-0.002766187862842919
Have difficulty starting tasks.,Worry about things.,-0.08771676096136552
Readily overcome setbacks.,Worry about things.,0.2072806564798432
Am not easily amused.,Worry about things.,-0.04494672638522181
Believe that we should be tough on crime.,Worry about things.,-0.030403204874354356
Believe people should fend for themselves.,Worry about things.,0.06208296779299175
Act without thinking.,Worry about things.,-0.050913737965533806
Adapt easily to new situations.,Worry about things.,0.26060029834801884
Keep others at a distance.,Worry about things.,-0.12115313756592368
Have difficulty imagining things.,Worry about things.,-0.05736839083295028
Believe that people are essentially evil.,Worry about things.,-0.04570890307317068
Don't see the consequences of things.,Worry about things.,-0.008615326919157949
Rarely complain.,Worry about things.,0.25494749673320893
Seek quiet.,Worry about things.,-0.10122454803541499
Do not enjoy watching dance performances.,Worry about things.,0.07302208817674637
Obstruct others' plans.,Worry about things.,-2.986880821643608e-4
Am not bothered by disorder.,Worry about things.,0.17140053934538718
Am very pleased with myself.,Worry about things.,0.2689808295032932
Hold back my opinions.,Worry about things.,-0.07484524784946021
Don't understand people who get emotional.,Worry about things.,0.17965077008709796
Take no time for others.,Worry about things.,0.029869006616910054
Misrepresent the facts.,Worry about things.,-0.07024034390048679
Am able to stand up for myself.,Worry about things.,0.20426760815993714
React slowly.,Worry about things.,-0.07631387997560422
Am attached to conventional ways.,Worry about things.,-0.13665769900899985
Hold a grudge.,Worry about things.,-0.2034581416777734
Put little time and effort into my work.,Worry about things.,0.007514466812270181
Never splurge.,Worry about things.,0.05915341313649887
Dislike loud music.,Worry about things.,-0.0379172158411588
Avoid difficult reading material.,Worry about things.,-0.05793595227273555
Make myself the center of attention.,Worry about things.,0.07139472457110617
Postpone decisions.,Worry about things.,-0.1443968989227255
Am calm even in tense situations.,Worry about things.,0.3428223941130495
Seldom joke around.,Worry about things.,-0.05964334442160787
Like to stand during the national anthem.,Worry about things.,0.029768344034564936
Can't stand weak people.,Worry about things.,0.03849329937583236
Often make last-minute plans.,Worry about things.,0.06712184508318877
Worry about things.,Make friends easily.,-0.09208815824881836
Make friends easily.,Make friends easily.,0.9999999999999999
Have a vivid imagination.,Make friends easily.,0.09490270431457012
Trust others.,Make friends easily.,0.27725934383929796
Complete tasks successfully.,Make friends easily.,0.12592265842040773
Get angry easily.,Make friends easily.,-0.07103864655647245
Love large parties.,Make friends easily.,0.4362151267815873
Believe in the importance of art.,Make friends easily.,-0.011501579271188318
Would never cheat on my taxes.,Make friends easily.,0.04547942662397889
Like order.,Make friends easily.,0.011528424548002939
Often feel blue.,Make friends easily.,-0.2867253398035255
Take charge.,Make friends easily.,0.3008151893092106
Experience my emotions intensely.,Make friends easily.,0.02193845906205544
Make people feel welcome.,Make friends easily.,0.4724275534114119
Try to follow the rules.,Make friends easily.,0.04714234298368932
Am easily intimidated.,Make friends easily.,-0.19936119914040062
Am always busy.,Make friends easily.,0.2172156380275294
Prefer variety to routine.,Make friends easily.,0.14342587087806088
Am easy to satisfy.,Make friends easily.,0.1629055362044558
Go straight for the goal.,Make friends easily.,0.1835902562401965
Often eat too much.,Make friends easily.,-0.018044616413450742
Love excitement.,Make friends easily.,0.3160708718121038
Like to solve complex problems.,Make friends easily.,-0.016590702033652153
Dislike being the center of attention.,Make friends easily.,-0.2982215493168227
Get chores done right away.,Make friends easily.,0.09758628469649447
Panic easily.,Make friends easily.,-0.11418914916098795
Radiate joy.,Make friends easily.,0.47544953740836393
Tend to vote for liberal political candidates.,Make friends easily.,-0.034851020927372384
Sympathize with the homeless.,Make friends easily.,0.05514369259287201
Avoid mistakes.,Make friends easily.,-0.027471892708982322
Fear for the worst.,Make friends easily.,-0.19319820043330538
Warm up quickly to others.,Make friends easily.,0.5469412134328854
Enjoy wild flights of fantasy.,Make friends easily.,0.029380892332022575
Believe that others have good intentions.,Make friends easily.,0.23220171116322375
Excel in what I do.,Make friends easily.,0.1794064142709631
Get irritated easily.,Make friends easily.,-0.13876569195598137
Talk to a lot of different people at parties.,Make friends easily.,0.5685356750352542
Like music.,Make friends easily.,0.1330357417349231
Stick to the rules.,Make friends easily.,-0.01280827050933347
Like to tidy up.,Make friends easily.,0.11193773252112202
Dislike myself.,Make friends easily.,-0.2982542914105715
Try to lead others.,Make friends easily.,0.2888231988048635
Feel others' emotions.,Make friends easily.,0.17291148962981256
Anticipate the needs of others.,Make friends easily.,0.18950976167875924
Keep my promises.,Make friends easily.,0.0888236784476246
Am afraid that I will do the wrong thing.,Make friends easily.,-0.16784300365770044
Am always on the go.,Make friends easily.,0.30800270173196626
Like to visit new places.,Make friends easily.,0.22038618590434705
Can't stand confrontations.,Make friends easily.,-0.11724913294907723
Work hard.,Make friends easily.,0.15535262477851744
Don't know why I do some of the things I do.,Make friends easily.,-0.04053292383894417
Seek adventure.,Make friends easily.,0.2622873298754777
Love to read challenging material.,Make friends easily.,-0.05671601344410504
Dislike talking about myself.,Make friends easily.,-0.17295703846814392
Am always prepared.,Make friends easily.,0.07195735997576959
Become overwhelmed by events.,Make friends easily.,-0.14599952249209175
Have a lot of fun.,Make friends easily.,0.4821003320931357
Believe that there is no absolute right or wrong.,Make friends easily.,-0.008383658426372542
Feel sympathy for those who are worse off than myself.,Make friends easily.,0.10037539290278645
Choose my words with care.,Make friends easily.,0.002465548240670888
Am afraid of many things.,Make friends easily.,-0.1629811723050742
Feel comfortable around people.,Make friends easily.,0.604501131503363
Love to daydream.,Make friends easily.,-0.011293552867477982
Trust what people say.,Make friends easily.,0.19590660190331627
Handle tasks smoothly.,Make friends easily.,0.19370418423965097
Get upset easily.,Make friends easily.,-0.12024277162063618
Enjoy being part of a group.,Make friends easily.,0.4101451965750735
See beauty in things that others might not notice.,Make friends easily.,0.07236830175007206
Use flattery to get ahead.,Make friends easily.,-0.18812739752323124
Want everything to be just right.,Make friends easily.,-8.245736051188182e-4
Am often down in the dumps.,Make friends easily.,-0.3099700796604385
Can talk others into doing things.,Make friends easily.,0.2546078138172695
Am passionate about causes.,Make friends easily.,0.14073866607352412
Love to help others.,Make friends easily.,0.2682863816133387
Pay my bills on time.,Make friends easily.,0.025968701734410862
Find it difficult to approach others.,Make friends easily.,-0.4992142420963218
Do a lot in my spare time.,Make friends easily.,0.227993736154018
Interested in many things.,Make friends easily.,0.17154303485447142
Hate to seem pushy.,Make friends easily.,-0.029374401426056563
Turn plans into actions.,Make friends easily.,0.2545476917580658
Do things I later regret.,Make friends easily.,-0.10538128374127233
Love action.,Make friends easily.,0.2885910153202909
Have a rich vocabulary.,Make friends easily.,-0.018460829397944006
Consider myself an average person.,Make friends easily.,0.05802039236750546
Start tasks right away.,Make friends easily.,0.13107730631039455
Feel that I'm unable to deal with things.,Make friends easily.,-0.22463244554719625
Express childlike joy.,Make friends easily.,0.2364679813854835
Believe that criminals should receive help rather than punishment.,Make friends easily.,-0.020054156239473014
Value cooperation over competition.,Make friends easily.,0.008193973576716836
Stick to my chosen path.,Make friends easily.,0.01876851739646799
Get stressed out easily.,Make friends easily.,-0.13501920937567885
Act comfortably with others.,Make friends easily.,0.5850019738561323
Like to get lost in thought.,Make friends easily.,-0.09532955415263944
Believe that people are basically moral.,Make friends easily.,0.15005280532834958
Am sure of my ground.,Make friends easily.,0.21031922772810663
Am often in a bad mood.,Make friends easily.,-0.30611840081948
Involve others in what I am doing.,Make friends easily.,0.4073678653973671
Love flowers.,Make friends easily.,0.1254549996137
Use others for my own ends.,Make friends easily.,-0.021115763102815363
Love order and regularity.,Make friends easily.,-0.031605753775938966
Have a low opinion of myself.,Make friends easily.,-0.2831311596958626
Seek to influence others.,Make friends easily.,0.2193318686551573
Enjoy examining myself and my life.,Make friends easily.,0.07118248607959182
Am concerned about others.,Make friends easily.,0.19800141715948194
Tell the truth.,Make friends easily.,0.063544244833701
Am afraid to draw attention to myself.,Make friends easily.,-0.3392410123862726
Can manage many things at the same time.,Make friends easily.,0.16592128534893572
Like to begin new things.,Make friends easily.,0.20271788138826075
Have a sharp tongue.,Make friends easily.,-0.025220637418157187
Plunge into tasks with all my heart.,Make friends easily.,0.16542878775729397
Go on binges.,Make friends easily.,-0.03884073060715923
Enjoy being part of a loud crowd.,Make friends easily.,0.361409904140436
Can handle a lot of information.,Make friends easily.,0.07306121165540404
Seldom toot my own horn.,Make friends easily.,-0.1173007431671062
Get to work at once.,Make friends easily.,0.09687479214242309
Can't make up my mind.,Make friends easily.,-0.10715706876039978
Laugh my way through life.,Make friends easily.,0.2727173986355222
Believe in one true religion.,Make friends easily.,-0.13419665469226996
Suffer from others' sorrows.,Make friends easily.,0.013112755031911184
Jump into things without thinking.,Make friends easily.,-0.05890746557691431
Get caught up in my problems.,Make friends easily.,-0.1660507717480065
Cheer people up.,Make friends easily.,0.45398705525003735
Indulge in my fantasies.,Make friends easily.,0.0420638045471799
Believe in human goodness.,Make friends easily.,0.2256405643852449
Come up with good solutions.,Make friends easily.,0.1644120558291478
Lose my temper.,Make friends easily.,-0.08251000185567424
Love surprise parties.,Make friends easily.,0.3333036228224272
Enjoy the beauty of nature.,Make friends easily.,0.05970976102939681
Know how to get around the rules.,Make friends easily.,-0.07506397410923925
Do things according to a plan.,Make friends easily.,0.028067264439513906
Have frequent mood swings.,Make friends easily.,-0.17209059957162148
Take control of things.,Make friends easily.,0.24712746336916663
Try to understand myself.,Make friends easily.,-1.944855524658234e-4
Have a good word for everyone.,Make friends easily.,0.2567149898163745
Listen to my conscience.,Make friends easily.,0.05082955503311531
Only feel comfortable with friends.,Make friends easily.,-0.4159924801781743
React quickly.,Make friends easily.,0.1391128755865765
Prefer to stick with things that I know.,Make friends easily.,0.1612785659790422
Contradict others.,Make friends easily.,0.1106167153387604
Do more than what's expected of me.,Make friends easily.,0.13294059427660382
Love to eat.,Make friends easily.,0.06001815385467505
Enjoy being reckless.,Make friends easily.,0.08967476871668799
Enjoy thinking about things.,Make friends easily.,-0.02910199180885582
Believe that I am better than others.,Make friends easily.,0.06848419288542978
Carry out my plans.,Make friends easily.,0.18831458998555745
Get overwhelmed by emotions.,Make friends easily.,-0.06929913638275678
Love life.,Make friends easily.,0.36158337530820184
Tend to vote for conservative political candidates.,Make friends easily.,-0.0479358766721238
Am not interested in other people's problems.,Make friends easily.,0.13799417632377048
Make rash decisions.,Make friends easily.,-0.01798576580003767
Am not easily bothered by things.,Make friends easily.,-0.11728070225078363
Am hard to get to know.,Make friends easily.,0.48901302347995024
Spend time reflecting on things.,Make friends easily.,-0.12175559692922426
Think that all will be well.,Make friends easily.,0.23916436020781326
Know how to get things done.,Make friends easily.,0.19858263047957864
Rarely get irritated.,Make friends easily.,-0.1360534122292501
Prefer to be alone.,Make friends easily.,0.38918342196894734
Do not like art.,Make friends easily.,-0.002593387053119073
Cheat to get ahead.,Make friends easily.,0.022768250841061922
Often forget to put things back in their proper place.,Make friends easily.,0.06261042424480624
Feel desperate.,Make friends easily.,-0.257203040924935
Wait for others to lead the way.,Make friends easily.,0.28220956266868313
Seldom get emotional.,Make friends easily.,0.037960792833063604
Look down on others.,Make friends easily.,0.18650296973520306
Break rules.,Make friends easily.,-0.008181942185947491
Stumble over my words.,Make friends easily.,-0.19829273818642715
Like to take it easy.,Make friends easily.,0.018870768872174534
Dislike changes.,Make friends easily.,0.18745460973782985
Love a good fight.,Make friends easily.,-0.05112197241645625
Set high standards for myself and others.,Make friends easily.,0.046832598276498744
Rarely overindulge.,Make friends easily.,-0.019490798143559532
Act wild and crazy.,Make friends easily.,0.2686569287330484
Am not interested in abstract ideas.,Make friends easily.,-0.044580493291663116
Think highly of myself.,Make friends easily.,-0.17900189204231093
Find it difficult to get down to work.,Make friends easily.,0.13505354371188077
Remain calm under pressure.,Make friends easily.,-0.12980804307298793
Look at the bright side of life.,Make friends easily.,0.3591619876407693
Believe that too much tax money goes to support artists.,Make friends easily.,0.009832804204020214
Tend to dislike soft-hearted people.,Make friends easily.,0.12063120312648365
Like to act on a whim.,Make friends easily.,-0.1191431602203068
Am relaxed most of the time.,Make friends easily.,-0.20720326430917038
Often feel uncomfortable around others.,Make friends easily.,0.47642921949927014
Seldom daydream.,Make friends easily.,-0.07182228805066437
Distrust people.,Make friends easily.,0.2511486710515889
Misjudge situations.,Make friends easily.,0.14024502009234385
Seldom get mad.,Make friends easily.,-0.08537714602276829
Want to be left alone.,Make friends easily.,0.39814611054524424
Do not like poetry.,Make friends easily.,0.05209531700179835
Put people under pressure.,Make friends easily.,0.03341053757648304
Leave a mess in my room.,Make friends easily.,0.07390820370985005
Feel that my life lacks direction.,Make friends easily.,-0.23908595486084766
Keep in the background.,Make friends easily.,0.46154687084406215
Am not easily affected by my emotions.,Make friends easily.,0.0038042521956518
Am indifferent to the feelings of others.,Make friends easily.,0.1288265170066686
Break my promises.,Make friends easily.,0.08312146135712993
Am not embarrassed easily.,Make friends easily.,-0.24604698866363783
Like to take my time.,Make friends easily.,0.04806282166195957
Don't like the idea of change.,Make friends easily.,0.1570309855189053
Yell at people.,Make friends easily.,0.037372293457484315
Demand quality.,Make friends easily.,-0.025863289214008635
Easily resist temptations.,Make friends easily.,-0.01863554177694895
Willing to try anything once.,Make friends easily.,0.14814283358053493
Avoid philosophical discussions.,Make friends easily.,-0.017317689587821334
Have a high opinion of myself.,Make friends easily.,-0.17872381549011115
Waste my time.,Make friends easily.,0.19413968309991253
Can handle complex problems.,Make friends easily.,-0.03973338158993782
Laugh aloud.,Make friends easily.,0.30432678338789476
Believe laws should be strictly enforced.,Make friends easily.,-0.04986885271296202
Believe in an eye for an eye.,Make friends easily.,-0.03577348052479354
Rush into things.,Make friends easily.,-0.07222620143910216
Am not easily disturbed by events.,Make friends easily.,-0.05102691822821347
